User,Content,Comments
라라네옷장,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
네
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) :
네
3. 소속 보험회사 :
더베스트
4. 보험경력 :
4년
5. 보만세에서 얻고 싶은 것 :
정보
6. 자기소개(경력, 영업방법 등) :
안녕하세요
삼성생명원수사에서 시작해서
현재 대리점에서 영업하고있습니다
경력은 5년차이지만..
아직 부족한게많고 이겨내야될께많고 배워야할께많은 설계사입니다
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] :
네이버검색 손해보험시험모의고사
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※",[]
곰돌이222,"※제목앞에 말머리를 꼭 달아주세요 (질문 / 고민 / 일상/ 영업일기)
내일시험본다해서 왕부담중입니다
설계시험..말그대로..
저위에 순환계주요치료비는
수술과 중환자실치료.
치료목적으로 쓴 비용을 청구할수있다는건인대
진단비를 크게가져가고 기본수술비로 충당이
현명한건지 순환계주요치료비 담보 금액저렴한조건)
이라면 넣는게 좋은건지...",[]
드디어,"●필독 - 회원등업 안내 ※
https://cafe.naver.com/gustn34264/16449
을 읽어보신 후 우수회원 자격이 되면
우수회원 등업요청 해주세요.
※제목앞에 말머리를 꼭 달아주세요 (질문 / 고민 / 일상/ 영업일기)
나름 공부를 한다고 했는데
왜이렇게 어려운거죠?
시험지속 문제는 1번 문항부터 이해가 되지않고
오랜만에 보는 omr카드가 반가웠습니다
웃픈...
내일 결과가 나온다는데 좋은 결과가 있길 기대해봅니다
초보중에 초보지만 잘배워서
고객 입장에서도,설계사 입장에서도 바르고 정직하게 일 잘하는 사람이 되어보고싶습니다!",[]
긍정리나,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) : 긍정리나
3. 소속 보험회사 : 서울법인재무설계
4. 보험경력 : 0년
5. 보만세에서 얻고 싶은 것 : 손해보험 시험문제 합격팁/ 영업노하우
6. 자기소개(경력, 영업방법 등) :
보험 초보입니다, 많은 영업스킬 배우고 싶어요
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] :
손해보험 시험 문제 검색중
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※",[]
사토시자연남,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) :
사토시자연남
3. 소속 보험회사 : 롯데손해보험
4. 보험경력 : 없음
5. 보만세에서 얻고 싶은 것 : 시험 자료
6. 자기소개(경력, 영업방법 등) : 요번에 손해보험시험을 보기위해 가입했습니다. 시험 합격하면 카페 활동 열심히고 싶습니다. 많은 조언 부탁드리겠습니다.
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 네이버에서 보험설계사 카페 검색해서 가입했습니다
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※",[]
왕이되자,"※제목앞에 말머리를 꼭 달아주세요 (질문 / 고민 / 일상/ 영업일기)
안녕하세요..
우선 제가 시험을치고 영업을 해보려고합니다..
상가를 얻어서 보험닥터 처럼 보험료청구 무료 해드립니다 하고
사람들에게 영업을 해볼까합니다.
제생각은 디비를 사는가격이나 상가 월세를 내는거나.. 비슷하다고 생각이들어서 저렴한거같은생각이들기도하구요
오히려 동네 정형외가 병원들 모여있는곳에 좋은조건이 있는 상가가있어서 거기에 바로
차려서 공부하며 영업을 해볼까합니다. 선배님들 조언이 좀 듣고싶습니다.",[]
쫄보,"ㅎㅎㅎㅎ
어제의
개척의 설레임에 이어
손보 하나 하면서 리스크 없이 생활하는데
아직 전문 지식이 없어 GA까진 엄두가 안나서
생보 자격 취득하고 교차 생보도
해보면 어떨까 생각 하는 하루가
되었어요 ㅎㅎㅎ",[]
파란나라를,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
네
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) :
파란나라를
3. 소속 보험회사 :
삼성생명
4. 보험경력 :
1개월차 신입
5. 보만세에서 얻고 싶은 것 :
손해보험 시험 출제
6. 자기소개(경력, 영업방법 등) :
아직 배워가고 있는 중입니다.
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] :
손해보험 시험 문제 검색중 들어오게 되었습니다
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※",[]
요미베베,"1. 먼저 이 글의 제목을 변경 해 주세요 : 지역+회사명+보험설계사+닉네임
(예시) 수원 ㅇㅇ보험회사/ ㅇㅇGA 보험설계사 뽀빠이 가입인사 합니다.
2. 카페 활동 닉네임 (영어이신 분은 한글로 바꾸어주세요) :네
3. 소속 보험회사 : 프라임
4. 보험경력 : 신입이에요
5. 보만세에서 얻고 싶은 것 : 시험자료나 영업 궁금해요
6. 자기소개(경력, 영업방법 등) : 안녕하세요 인사드립니다
7. 가입경로 [ 예) 검색(검색어 입력-보험설계사 등등), 소개, 기타 ] : 검색
●필독 - 회원등업
https://cafe.naver.com/gustn34264/16449
가입인사글1개+댓글20개 정회원 자동등업
★등업혜택 : 필수자료 150개★
https://cafe.naver.com/gustn34264/56557
● 카톡 채널을 ""추가""하시면
유용한 정보와 안내를 받아 보실 수 있습니다.
(카톡에서 '보만세'검색 또는
채널링크 접속 : http://pf.kakao.com/_rtxjyb )
● 위 질문 미 입력시 다시 신입회원으로 강등.
★이 달의 보험강의 모음★
https://cafe.naver.com/gustn34264/53907
📢보만세 광고안내
https://cafe.naver.com/gustn34264/16547
※※※ 신규 회원에게 불법으로 리크루팅 쪽지/메일을 보내는 분들이
있습니다. 불법광고로 입사한 회원들이 100% 피해를 보고 있습니다.
내용 캡쳐해서 제게 문자 주시면 조치하고 커피쿠폰 드리겠습니다.
운영자 조이파파 010-5582-7573※※※",[]
루비루비맘,"화재보험은 대구 대전 갔었는데 대구 문제가 난감한..
대전 문제는 책에서 봐오덧 것들이라 눈에 쏙쏙
화재랑+제3보험 합격했습니다!",[]
